CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1016,Male,1,1,1,68,1,No phone service,Fiber optic,Yes,No,No internet service,No internet service,Yes,No internet service,One year,0,Credit card,42.53,2899.49,0
1017,Female,0,1,1,22,1,No,DSL,No internet service,No,Yes,Yes,Yes,No,One year,1,Bank transfer,36.18,791.59,0
1018,Female,0,1,1,52,1,No,DSL,Yes,No internet service,No internet service,Yes,Yes,No,One year,1,Credit card,60.0,3111.9,0
1019,Female,1,1,0,36,1,No phone service,DSL,No,Yes,Yes,No,Yes,No internet service,Two year,1,Electronic check,91.28,3281.15,1
1020,Male,0,0,1,8,1,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,0,Electronic check,24.25,186.08,1
1021,Female,0,0,1,14,1,Yes,Fiber optic,No,No,No internet service,Yes,No,No internet service,Month-to-month,0,Credit card,32.91,457.19,0
1022,Male,0,1,1,2,1,No,Fiber optic,Yes,No internet service,No internet service,Yes,No,No,Two year,1,Electronic check,30.61,61.98,1
1023,Female,1,1,0,69,1,Yes,DSL,No,No,Yes,No internet service,No internet service,No internet service,Month-to-month,1,Bank transfer,78.53,5428.04,0
1024,Female,1,0,0,16,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,No internet service,Month-to-month,0,Mailed check,44.29,706.63,0
1025,Female,1,0,0,25,1,No,No,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,0,Mailed check,36.63,910.15,0
1026,Female,0,0,1,20,1,No,Fiber optic,No internet service,No internet service,No internet service,Yes,Yes,No,One year,1,Bank transfer,79.28,1578.94,0
1027,Female,1,0,0,71,1,No phone service,Fiber optic,No,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,96.13,6818.69,0
1028,Female,0,1,0,20,1,No,Fiber optic,No internet service,No internet service,Yes,No,No internet service,Yes,Month-to-month,1,Bank transfer,53.22,1058.25,0
1029,Female,0,0,1,10,1,No,Fiber optic,No internet service,Yes,No,No internet service,No internet service,No,Month-to-month,1,Credit card,77.82,783.45,0
1030,Female,0,1,1,37,1,No,Fiber optic,No,No internet service,Yes,No internet service,Yes,No,One year,0,Mailed check,29.81,1094.19,0
1031,Male,0,0,0,71,1,Yes,No,No,No,No,Yes,No,Yes,Month-to-month,0,Credit card,113.52,8069.87,0
1032,Male,0,0,1,34,1,Yes,Fiber optic,Yes,No internet service,Yes,No,No internet service,Yes,Month-to-month,0,Credit card,53.69,1825.91,0
1033,Female,0,0,1,13,1,Yes,No,Yes,No,No,Yes,No internet service,No internet service,One year,0,Bank transfer,119.75,1557.64,0
1034,Female,0,1,1,13,1,No phone service,DSL,No,No internet service,No internet service,Yes,No,No,Two year,0,Mailed check,117.86,1529.33,1
1035,Female,0,1,1,9,1,No phone service,DSL,No internet service,No internet service,Yes,No,No internet service,No internet service,One year,0,Electronic check,97.88,884.73,0
1036,Male,0,0,0,11,1,No phone service,DSL,Yes,Yes,Yes,No,No,No,One year,0,Electronic check,22.01,241.54,0
1037,Female,0,1,1,37,0,Yes,Fiber optic,Yes,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,0,Electronic check,74.35,2747.53,1
1038,Male,0,1,0,33,1,No,Fiber optic,No,No internet service,Yes,No,No,No internet service,Month-to-month,1,Electronic check,28.68,941.74,0
1039,Male,0,0,0,40,1,No phone service,DSL,No,Yes,Yes,No internet service,No,No,Month-to-month,1,Bank transfer,109.51,4388.91,0
1040,Male,0,0,0,9,1,No phone service,DSL,No,No,No internet service,No internet service,Yes,No,Two year,0,Credit card,98.96,886.46,1
1041,Male,0,1,0,16,1,Yes,No,No,No internet service,No internet service,Yes,No internet service,Yes,Month-to-month,1,Mailed check,117.23,1874.41,1
1042,Male,0,1,1,16,1,No phone service,Fiber optic,Yes,No internet service,No,Yes,Yes,Yes,Two year,1,Bank transfer,80.84,1290.45,0
1043,Female,0,1,1,66,1,No,Fiber optic,Yes,No,No internet service,Yes,No internet service,No,Two year,1,Electronic check,72.22,4758.24,0
1044,Female,0,0,1,61,1,Yes,Fiber optic,Yes,Yes,No internet service,No,No internet service,Yes,Month-to-month,1,Mailed check,71.9,4379.62,0
1045,Female,1,0,0,0,1,Yes,Fiber optic,No internet service,No internet service,Yes,No,No,Yes,Month-to-month,1,Bank transfer,58.64,-6.21,1
1046,Female,0,1,0,11,1,No,Fiber optic,Yes,Yes,No internet service,No internet service,Yes,No internet service,Month-to-month,0,Credit card,66.87,739.44,1
1047,Female,0,0,0,3,1,No,No,Yes,No,Yes,No internet service,No,No,Month-to-month,0,Electronic check,83.54,248.75,1
1048,Male,0,0,1,41,0,No,DSL,No,No,No internet service,No internet service,Yes,No internet service,Month-to-month,0,Mailed check,113.29,4650.53,0
1049,Female,1,1,0,12,0,No phone service,Fiber optic,Yes,Yes,No internet service,No,Yes,Yes,Two year,0,Mailed check,79.59,959.26,1
1050,Female,0,1,1,3,1,No,DSL,Yes,No,No,No internet service,No,No,Month-to-month,0,Electronic check,105.71,310.97,1
1051,Male,1,0,1,68,1,Yes,Fiber optic,Yes,No,No internet service,No internet service,No internet service,Yes,Month-to-month,0,Credit card,106.28,7228.3,0
1052,Female,0,0,1,18,1,No,Fiber optic,No,No internet service,No internet service,No,No internet service,Yes,Month-to-month,1,Electronic check,71.88,1298.7,0
1053,Male,1,1,1,1,0,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,0,Credit card,54.75,57.41,0
1054,Female,0,0,0,11,1,Yes,DSL,Yes,No internet service,Yes,No,No internet service,Yes,One year,1,Mailed check,83.96,925.56,1
1055,Male,1,0,1,5,1,No phone service,Fiber optic,No internet service,Yes,No,No internet service,No,No internet service,Two year,0,Electronic check,64.59,327.74,1
1056,Female,0,1,0,7,1,No,DSL,No internet service,No internet service,No internet service,Yes,No,No,Two year,1,Credit card,28.14,188.12,0
1057,Female,0,1,1,50,1,No phone service,DSL,No internet service,No,Yes,No,No,Yes,Month-to-month,1,Credit card,57.78,2893.63,0
1058,Male,0,0,0,10,1,No,DSL,No internet service,Yes,No internet service,Yes,Yes,Yes,Month-to-month,0,Bank transfer,119.41,1189.55,0
1059,Male,0,0,0,62,1,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,0,Credit card,24.85,1542.14,0
1060,Male,0,0,1,56,1,No,Fiber optic,No internet service,Yes,Yes,No internet service,No internet service,No,Month-to-month,0,Electronic check,89.67,5016.37,0
1061,Male,1,1,1,11,1,No,Fiber optic,Yes,Yes,Yes,No,No,No internet service,One year,0,Electronic check,104.12,1152.1,0
1062,Male,1,0,1,72,1,No,Fiber optic,No internet service,No,No,No internet service,No,Yes,Month-to-month,1,Credit card,84.87,6110.25,0
1063,Male,0,0,0,1,0,Yes,Fiber optic,No,No,No internet service,No,Yes,Yes,Month-to-month,0,Electronic check,76.97,79.83,1
1064,Male,0,1,1,7,1,Yes,Fiber optic,No internet service,No,Yes,No,Yes,Yes,One year,0,Mailed check,90.76,641.2,0
1065,Male,0,1,1,10,1,No,Fiber optic,No internet service,No internet service,Yes,No,Yes,No,One year,1,Mailed check,62.93,637.21,1
1066,Female,0,0,0,52,1,Yes,Fiber optic,No,No,No,Yes,No,Yes,One year,1,Electronic check,29.14,1519.92,0
1067,Female,0,1,1,9,1,No phone service,Fiber optic,No,No internet service,No,Yes,No,Yes,Month-to-month,0,Credit card,116.24,1039.14,0
1068,Male,0,1,0,7,1,No phone service,Fiber optic,No,No internet service,No,No internet service,No internet service,Yes,Two year,0,Mailed check,63.23,449.7,0
1069,Female,0,0,1,35,1,No phone service,Fiber optic,No,No,No internet service,No,No,No,Month-to-month,1,Credit card,86.54,3031.27,0
1070,Female,0,1,0,13,1,No,No,No,No,No internet service,No,No internet service,No internet service,Month-to-month,0,Electronic check,73.13,952.88,0
1071,Female,0,1,0,53,1,No,DSL,No,No,No internet service,Yes,No internet service,No,One year,1,Bank transfer,25.47,1358.34,0
1072,Female,0,0,1,20,1,Yes,DSL,Yes,No internet service,No,No,No,No internet service,Two year,1,Mailed check,115.27,2300.38,1
1073,Male,0,1,0,49,1,Yes,Fiber optic,No internet service,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,0,Electronic check,99.25,4858.04,0
1074,Female,0,0,1,38,1,Yes,DSL,No internet service,No,No internet service,No,No internet service,No,Month-to-month,1,Mailed check,34.91,1326.84,0
1075,Male,1,0,1,19,1,No phone service,DSL,No,No internet service,No,No,Yes,Yes,Month-to-month,0,Credit card,118.16,2250.06,0
1076,Female,0,1,0,6,1,No phone service,No,No,No internet service,No internet service,Yes,No,No internet service,Month-to-month,0,Bank transfer,93.69,561.08,0
1077,Female,0,1,1,8,1,No phone service,DSL,Yes,No,Yes,No,No internet service,Yes,Two year,0,Bank transfer,67.23,540.52,0
1078,Female,0,1,0,0,1,No phone service,No,Yes,No internet service,Yes,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,81.14,-0.95,1
1079,Male,0,0,0,25,1,Yes,Fiber optic,No,No,No,No internet service,No internet service,Yes,One year,0,Mailed check,30.67,768.96,0
1080,Female,1,1,0,37,1,No,Fiber optic,Yes,No internet service,Yes,No internet service,No,Yes,One year,0,Bank transfer,76.04,2819.93,0
1081,Male,0,0,0,37,1,No,DSL,Yes,Yes,No,No internet service,Yes,No,One year,1,Mailed check,27.37,1006.3,0
1082,Female,0,1,0,60,1,No phone service,DSL,No,No internet service,No,Yes,Yes,Yes,Month-to-month,0,Credit card,74.49,4473.31,1
1083,Male,0,1,0,43,1,No,Fiber optic,No,No,No,No,No,No internet service,Month-to-month,0,Credit card,75.27,3242.36,0
1084,Female,1,1,0,43,1,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,0,Electronic check,107.44,4618.86,0
1085,Male,1,0,0,61,1,No,DSL,No,No,Yes,No internet service,No,Yes,Month-to-month,1,Bank transfer,92.51,5639.57,0
1086,Male,0,1,1,5,1,No phone service,DSL,No internet service,No internet service,Yes,No,No,Yes,Month-to-month,1,Bank transfer,44.96,215.07,0
1087,Female,0,1,1,16,1,Yes,DSL,No internet service,Yes,Yes,Yes,Yes,No internet service,Two year,0,Mailed check,108.84,1747.38,0
1088,Male,0,0,0,50,1,Yes,DSL,No,Yes,Yes,No,No internet service,No internet service,Month-to-month,0,Credit card,77.32,3862.56,0
1089,Female,1,0,1,37,1,No,Fiber optic,Yes,No internet service,No,No internet service,No internet service,No internet service,One year,0,Bank transfer,80.64,2980.83,0
1090,Female,0,1,1,23,1,Yes,DSL,No,Yes,No,No internet service,No,Yes,Month-to-month,1,Electronic check,36.9,845.42,0
1091,Female,1,1,1,50,1,Yes,DSL,No internet service,Yes,Yes,No,No,No,One year,0,Electronic check,105.78,5288.97,0
1092,Female,0,1,1,9,1,No phone service,Fiber optic,Yes,Yes,No internet service,No,No internet service,No internet service,Two year,0,Bank transfer,113.1,1021.95,0
1093,Female,0,0,1,71,1,No phone service,No,No internet service,No,No internet service,No internet service,Yes,Yes,Month-to-month,0,Electronic check,97.5,6927.94,0
1094,Female,0,0,1,20,1,No,DSL,No,No,No internet service,Yes,No,No internet service,Two year,1,Bank transfer,114.08,2279.45,0
1095,Female,0,0,0,69,1,No,DSL,No internet service,Yes,Yes,No internet service,No,No,One year,1,Bank transfer,50.23,3469.13,0
1096,Female,0,0,1,56,1,No,Fiber optic,No internet service,No internet service,No,No,Yes,Yes,Two year,1,Bank transfer,106.11,5946.57,0
1097,Female,0,1,1,38,1,No phone service,No,No internet service,No internet service,No,Yes,Yes,No internet service,One year,1,Bank transfer,68.89,2613.76,0
1098,Female,0,0,1,32,1,Yes,Fiber optic,Yes,No,No internet service,No internet service,Yes,No internet service,Month-to-month,1,Mailed check,36.39,1156.41,0
1099,Female,0,0,1,58,1,No phone service,Fiber optic,No internet service,No internet service,No internet service,No,No,No,Month-to-month,0,Bank transfer,86.88,5046.93,0
1100,Male,0,0,0,17,1,No phone service,DSL,Yes,Yes,No,No,Yes,No internet service,Month-to-month,0,Electronic check,88.41,1506.51,0
1101,Male,0,1,0,55,1,Yes,Fiber optic,No,No internet service,No internet service,No,No,Yes,Month-to-month,0,Credit card,48.69,2680.91,0
1102,Female,1,1,0,56,1,Yes,DSL,No,No,No internet service,Yes,No,Yes,Two year,0,Mailed check,22.75,1265.18,0
1103,Female,1,0,0,47,1,No,Fiber optic,No internet service,No,No,Yes,Yes,No,One year,1,Credit card,39.98,1885.42,0
1104,Female,1,0,1,41,1,Yes,Fiber optic,Yes,Yes,No internet service,Yes,No internet service,No,Month-to-month,1,Credit card,59.98,2460.5,0
1105,Female,1,1,0,26,1,Yes,No,No,No,No internet service,Yes,Yes,No,Two year,0,Credit card,36.76,962.72,0
1106,Female,0,1,0,51,1,Yes,DSL,Yes,No,Yes,No,No internet service,Yes,One year,1,Credit card,39.4,2018.89,0
1107,Female,0,1,0,41,1,Yes,DSL,Yes,No,No internet service,No,Yes,No,Month-to-month,0,Credit card,59.14,2433.88,0
1108,Female,0,1,0,31,1,No,Fiber optic,No internet service,No internet service,Yes,Yes,Yes,No internet service,Month-to-month,1,Electronic check,116.18,3608.7,0
1109,Female,0,1,1,25,1,No,Fiber optic,No internet service,No,No,Yes,No,No internet service,Month-to-month,0,Bank transfer,96.42,2400.72,1
1110,Male,0,1,0,24,1,Yes,Fiber optic,Yes,No internet service,Yes,No,No,Yes,Two year,0,Electronic check,51.97,1254.99,0
1111,Female,0,1,1,22,1,Yes,DSL,Yes,No,No,No internet service,No,No internet service,Two year,0,Mailed check,115.16,2525.02,0
1112,Male,0,1,0,56,1,No,DSL,No internet service,No,Yes,No internet service,No,No,Month-to-month,1,Electronic check,84.56,4742.38,0
1113,Female,0,0,1,51,1,No,Fiber optic,Yes,No internet service,Yes,No,No,No internet service,Month-to-month,0,Mailed check,65.54,3338.14,1
1114,Female,0,0,1,30,1,Yes,DSL,No internet service,No internet service,Yes,Yes,No,No,One year,0,Bank transfer,66.83,2007.1,0
1115,Male,0,0,0,63,1,No phone service,No,Yes,Yes,No internet service,Yes,No,No internet service,Two year,1,Credit card,61.07,3838.17,0
1116,Female,0,0,0,70,1,No,Fiber optic,No internet service,Yes,No internet service,No,No internet service,Yes,One year,0,Bank transfer,43.3,3036.42,0
1117,Male,0,0,0,32,0,No,Fiber optic,Yes,No internet service,No internet service,No internet service,No internet service,No,One year,1,Electronic check,58.66,1869.35,1
1118,Female,1,0,0,1,0,No,Fiber optic,No internet service,No,No internet service,No,No,No internet service,Month-to-month,1,Electronic check,72.79,71.0,1
1119,Female,0,1,1,17,0,Yes,Fiber optic,Yes,Yes,No internet service,No,No internet service,Yes,Month-to-month,1,Bank transfer,72.8,1243.95,0
1120,Male,0,1,1,46,1,Yes,DSL,No,No internet service,Yes,No,Yes,No internet service,Month-to-month,0,Bank transfer,96.17,4427.73,0
1121,Female,1,0,0,32,1,No,Fiber optic,No,No internet service,No internet service,Yes,No internet service,Yes,Two year,1,Electronic check,55.88,1778.28,0
1122,Male,1,0,0,34,0,Yes,DSL,Yes,No,No,Yes,No,No internet service,Month-to-month,1,Bank transfer,91.68,3115.18,0
1123,Female,1,1,1,50,1,Yes,Fiber optic,No,No internet service,Yes,Yes,No internet service,No,Two year,1,Mailed check,77.81,3881.34,0
1124,Male,0,1,0,17,1,No,DSL,Yes,Yes,Yes,No internet service,Yes,No,Month-to-month,0,Mailed check,116.18,1978.53,1
1125,Male,0,1,1,71,1,Yes,Fiber optic,Yes,No,No,No,No internet service,No,Two year,1,Electronic check,58.53,4165.01,0
1126,Female,0,0,0,29,1,No phone service,DSL,No,No internet service,No internet service,No,No,No,Month-to-month,0,Electronic check,110.12,3196.59,0
1127,Female,0,1,1,43,1,Yes,DSL,Yes,No internet service,No,No internet service,Yes,No,Month-to-month,1,Bank transfer,102.06,4383.07,0
1128,Male,0,0,1,52,1,Yes,No,No internet service,No,Yes,Yes,Yes,No internet service,One year,1,Bank transfer,83.77,4353.14,0
1129,Female,0,0,1,9,1,No,DSL,Yes,No,Yes,No,No internet service,No internet service,Month-to-month,0,Credit card,85.45,778.58,0
1130,Female,0,1,1,51,1,No,Fiber optic,Yes,No,Yes,No internet service,Yes,No internet service,Two year,0,Mailed check,28.46,1445.94,0
1131,Female,0,1,1,48,1,No phone service,No,No,Yes,No,Yes,Yes,No internet service,One year,0,Electronic check,115.02,5522.19,0
1132,Male,0,0,0,10,1,Yes,DSL,No internet service,Yes,No internet service,Yes,Yes,No,Month-to-month,1,Electronic check,30.69,304.91,1
1133,Male,0,1,1,65,1,No phone service,Fiber optic,Yes,No internet service,Yes,No,No,Yes,Two year,1,Electronic check,76.32,4966.17,0
1134,Male,0,1,0,57,1,No phone service,DSL,Yes,No internet service,No internet service,Yes,Yes,No,Two year,0,Electronic check,53.01,3028.92,0
1135,Male,0,0,1,35,1,No,DSL,Yes,No,Yes,No internet service,No internet service,No internet service,Month-to-month,0,Credit card,62.99,2201.47,1
1136,Male,0,1,1,32,1,Yes,Fiber optic,Yes,No internet service,No internet service,Yes,No internet service,No,Two year,0,Mailed check,81.02,2595.85,0
1137,Male,1,0,0,46,1,No,No,Yes,No internet service,No,No,Yes,No,Month-to-month,0,Credit card,110.89,5101.92,0
1138,Male,0,0,0,12,1,No phone service,DSL,Yes,No,Yes,No internet service,No internet service,No,Month-to-month,0,Mailed check,65.76,784.69,0
1139,Male,0,1,0,39,1,No phone service,Fiber optic,No internet service,Yes,Yes,Yes,Yes,Yes,One year,1,Electronic check,118.77,4627.47,0
1140,Male,0,0,0,67,1,No,Fiber optic,No internet service,Yes,Yes,Yes,No internet service,No,Month-to-month,1,Mailed check,79.28,5312.53,0
1141,Female,0,0,1,41,1,No,No,Yes,Yes,No,Yes,Yes,No,Month-to-month,0,Electronic check,36.06,1471.54,0
1142,Male,0,1,0,18,1,No,DSL,Yes,No internet service,No,No internet service,Yes,Yes,Month-to-month,0,Credit card,39.0,708.22,1
1143,Female,0,1,1,18,1,No,Fiber optic,No,No,No internet service,Yes,Yes,No,Month-to-month,1,Mailed check,91.61,1640.36,0
1144,Female,0,1,0,57,1,No,Fiber optic,No internet service,Yes,No,No,No,No,Two year,0,Bank transfer,25.04,1419.17,0
1145,Female,0,0,0,22,1,No phone service,Fiber optic,No internet service,No internet service,Yes,No internet service,No internet service,No,One year,0,Mailed check,68.03,1493.5,0
1146,Male,1,0,1,53,1,No,No,Yes,No,No internet service,No internet service,Yes,No,Two year,0,Electronic check,34.82,1837.82,0
1147,Male,0,1,1,64,1,Yes,Fiber optic,No internet service,Yes,No,Yes,No,No,One year,0,Bank transfer,63.32,4051.99,0
1148,Male,0,0,0,11,0,No phone service,DSL,No internet service,Yes,No internet service,No internet service,No,No internet service,Month-to-month,1,Electronic check,94.99,1042.88,1
1149,Male,1,1,1,23,0,No phone service,Fiber optic,No,No,No internet service,No,Yes,No,Month-to-month,0,Bank transfer,65.88,1519.68,0
1150,Female,1,1,1,33,1,Yes,Fiber optic,No,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,1,Bank transfer,36.35,1208.61,0
1151,Male,0,0,1,52,1,Yes,DSL,No internet service,No internet service,Yes,No,Yes,No,Two year,1,Mailed check,45.19,2354.95,0
1152,Male,0,1,1,7,1,No phone service,Fiber optic,No internet service,Yes,Yes,Yes,Yes,No internet service,Month-to-month,1,Mailed check,56.75,390.84,0
1153,Male,0,0,1,17,1,No,Fiber optic,No internet service,No,No,No internet service,Yes,Yes,Month-to-month,1,Bank transfer,26.96,467.03,0
1154,Male,0,0,1,56,1,No phone service,Fiber optic,Yes,No internet service,Yes,No,No internet service,Yes,Two year,0,Bank transfer,78.43,4389.92,0
1155,Male,0,1,1,4,1,No phone service,No,No,No,No internet service,Yes,Yes,No,One year,1,Bank transfer,80.75,322.48,0
1156,Female,0,0,1,25,0,Yes,DSL,Yes,No,No internet service,No,Yes,No internet service,Month-to-month,0,Electronic check,26.22,653.93,0
1157,Male,0,1,0,29,1,No phone service,No,No,Yes,Yes,No internet service,No internet service,No,Month-to-month,0,Mailed check,60.23,1742.28,0
1158,Female,1,0,1,53,1,No,Fiber optic,No,No,No internet service,No internet service,No,No internet service,Two year,1,Electronic check,61.4,3262.1,1
1159,Male,1,0,0,12,1,Yes,Fiber optic,No,No,Yes,No,No internet service,No internet service,Two year,0,Mailed check,53.38,637.2,0
1160,Female,0,0,1,28,1,No phone service,Fiber optic,No internet service,No,No internet service,Yes,No,No,Month-to-month,0,Credit card,75.77,2123.13,0
1161,Male,0,1,1,2,1,No phone service,Fiber optic,No,No internet service,No,Yes,No,No internet service,Month-to-month,1,Electronic check,54.6,104.0,1
1162,Male,0,0,1,57,1,No,Fiber optic,Yes,Yes,No,Yes,No internet service,No,Two year,1,Mailed check,61.64,3519.43,0
1163,Female,0,1,1,1,1,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,No internet service,One year,1,Bank transfer,99.75,105.23,0
1164,Female,0,0,0,27,1,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,0,Bank transfer,36.21,973.6,0
1165,Female,0,0,0,1,1,No phone service,No,No,No,Yes,No internet service,Yes,No,Month-to-month,0,Mailed check,81.91,85.54,0
1166,Male,0,1,1,6,1,No phone service,Fiber optic,No,No internet service,Yes,No,No internet service,No internet service,Two year,1,Bank transfer,70.56,427.44,0
1167,Female,0,1,0,25,1,No,DSL,No internet service,Yes,Yes,No internet service,No,Yes,Month-to-month,1,Bank transfer,50.51,1264.0,0
1168,Male,0,1,1,15,1,No phone service,DSL,Yes,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,0,Credit card,92.75,1393.26,0
1169,Male,0,1,1,22,1,No phone service,Fiber optic,No,Yes,No,No,No,Yes,One year,0,Credit card,75.12,1654.13,0
1170,Female,0,1,0,39,1,No phone service,DSL,No,No internet service,No internet service,No,No,Yes,Month-to-month,1,Credit card,67.74,2633.5,0
1171,Female,0,0,0,59,0,Yes,Fiber optic,Yes,No,No,Yes,No internet service,No,Two year,0,Electronic check,86.77,5122.84,0
1172,Male,1,0,1,72,1,No,DSL,No,No internet service,No internet service,No internet service,Yes,No internet service,Month-to-month,0,Credit card,100.23,7215.96,0
1173,Male,0,1,1,31,0,Yes,Fiber optic,No internet service,No,No internet service,Yes,Yes,Yes,Two year,1,Credit card,117.27,3634.14,0
1174,Female,0,0,0,14,1,Yes,DSL,Yes,Yes,No internet service,Yes,No,No internet service,Month-to-month,1,Credit card,82.94,1168.36,1
1175,Female,0,0,1,12,1,No,DSL,No internet service,Yes,Yes,No,Yes,No internet service,One year,0,Mailed check,107.44,1279.74,0
1176,Female,0,0,0,4,1,Yes,Fiber optic,Yes,No,No,Yes,No,No internet service,Month-to-month,0,Bank transfer,20.11,75.47,0
1177,Male,0,1,1,51,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,No internet service,No,One year,0,Mailed check,73.02,3716.45,1
1178,Male,0,0,1,40,1,Yes,No,Yes,No internet service,Yes,Yes,No internet service,No,One year,0,Credit card,41.46,1649.11,1
1179,Male,0,0,0,52,1,No,No,No,No,No internet service,No,Yes,Yes,Month-to-month,1,Electronic check,29.42,1525.35,0
1180,Male,0,0,0,49,0,No phone service,Fiber optic,Yes,Yes,No,Yes,No internet service,No internet service,Month-to-month,0,Mailed check,73.2,3596.57,0
1181,Male,1,1,0,14,0,No,DSL,Yes,No internet service,No,Yes,No internet service,No,Month-to-month,1,Credit card,94.68,1320.92,0
1182,Male,0,0,1,6,1,No,Fiber optic,Yes,No internet service,No,No,Yes,No,Two year,0,Electronic check,61.23,370.65,0
1183,Female,0,0,1,39,1,No,No,No internet service,Yes,No,No,No,No,Month-to-month,1,Electronic check,87.01,3385.76,0
1184,Male,1,1,1,27,1,Yes,Fiber optic,Yes,Yes,Yes,No,No internet service,Yes,Month-to-month,0,Electronic check,68.97,1864.23,0
1185,Male,0,1,1,31,1,No phone service,DSL,No,No internet service,Yes,No internet service,Yes,No,Month-to-month,0,Bank transfer,63.71,1984.7,0
1186,Male,1,0,0,14,1,No,No,Yes,No,No,No,Yes,No internet service,Two year,1,Electronic check,49.03,682.26,0
1187,Female,0,0,1,69,1,No,DSL,Yes,Yes,Yes,No internet service,Yes,No,Month-to-month,0,Credit card,58.26,4026.9,0
1188,Male,0,1,1,64,1,No phone service,Fiber optic,No internet service,Yes,No,No,No internet service,No,Month-to-month,1,Mailed check,54.98,3528.67,0
1189,Male,0,1,1,3,1,No phone service,No,No,No,Yes,No,No internet service,Yes,One year,1,Mailed check,84.62,255.63,0
1190,Female,0,1,0,10,0,No phone service,DSL,No,No,No internet service,No,No,No internet service,One year,1,Credit card,31.6,312.19,0
1191,Male,0,1,1,25,1,Yes,No,No,Yes,No internet service,No internet service,No,No,Month-to-month,0,Bank transfer,29.26,734.97,0
1192,Male,0,1,1,60,1,No phone service,DSL,Yes,No,No,Yes,No,No internet service,Two year,0,Bank transfer,86.0,5166.9,0
1193,Male,0,1,0,36,1,Yes,No,Yes,No internet service,No,No,No,No internet service,One year,0,Electronic check,74.63,2680.11,0
1194,Male,0,1,1,22,1,No,DSL,No,No internet service,Yes,No internet service,No,No,Month-to-month,1,Credit card,63.02,1385.49,1
